20260326;kariyertv;Gunluk Hedef Dashboard;17902;PowerBIServer;PowerBI
20260325;kariyertv;Gunluk Hedef Dashboard;17322;PowerBIServer;PowerBI
20260312;kariyertv;Gunluk Hedef Dashboard;17171;PowerBIServer;PowerBI
20260207;kariyertv;Gunluk Hedef Dashboard;15766;PowerBIServer;PowerBI
20260228;kariyertv;Gunluk Hedef Dashboard;15765;PowerBIServer;PowerBI
20260328;kariyertv;Gunluk Hedef Dashboard;15762;PowerBIServer;PowerBI
20260206;kariyertv;Gunluk Hedef Dashboard;15761;PowerBIServer;PowerBI
20260205;kariyertv;Gunluk Hedef Dashboard;15758;PowerBIServer;PowerBI
20260327;kariyertv;Gunluk Hedef Dashboard;15741;PowerBIServer;PowerBI
20260331;kariyertv;Gunluk Hedef Dashboard;15724;PowerBIServer;PowerBI
20260324;kariyertv;Gunluk Hedef Dashboard;15692;PowerBIServer;PowerBI
20260204;kariyertv;Gunluk Hedef Dashboard;15683;PowerBIServer;PowerBI
20260301;kariyertv;Gunluk Hedef Dashboard;15343;PowerBIServer;PowerBI
20260311;kariyertv;Gunluk Hedef Dashboard;15261;PowerBIServer;PowerBI
20260101;kariyertv;Gunluk Hedef Dashboard;15121;PowerBIServer;PowerBI
20260203;kariyertv;Gunluk Hedef Dashboard;15106;PowerBIServer;PowerBI
20260306;kariyertv;Gunluk Hedef Dashboard;14889;PowerBIServer;PowerBI
20260124;kariyertv;Gunluk Hedef Dashboard;14335;PowerBIServer;PowerBI
20260125;kariyertv;Gunluk Hedef Dashboard;14334;PowerBIServer;PowerBI
20260126;kariyertv;Gunluk Hedef Dashboard;14334;PowerBIServer;PowerBI
20260103;kariyertv;Gunluk Hedef Dashboard;14334;PowerBIServer;PowerBI
20260123;kariyertv;Gunluk Hedef Dashboard;14331;PowerBIServer;PowerBI
20260102;kariyertv;Gunluk Hedef Dashboard;14331;PowerBIServer;PowerBI
20260114;kariyertv;Gunluk Hedef Dashboard;14329;PowerBIServer;PowerBI
20260127;kariyertv;Gunluk Hedef Dashboard;14328;PowerBIServer;PowerBI
